P_norm,24h X_t,24h X_t-1,24h X_t-2,24h X_t-3,24h X_t-4,Xt
0.493975904,7.944433,7.571655,7.141063,6.7164693,6.3422914,7.483443076
0.481927711,8.214369,7.944433,7.571655,7.141063,6.7164693,8.5517797
0.457831325,8.366232,8.214369,7.944433,7.571655,7.141063,9.052121725
0.445783133,8.421768,8.366232,8.214369,7.944433,7.571655,8.723800758
0.385542169,8.405548,8.421768,8.366232,8.214369,7.944433,8.657262726
0.361445783,8.286852,8.405548,8.421768,8.366232,8.214369,8.641451569
0.421686747,8.025305,8.286852,8.405548,8.421768,8.366232,8.396317421
0.445783133,7.6536584,8.025305,8.286852,8.405548,8.421768,8.344959758
0.481927711,7.288781,7.6536584,8.025305,8.286852,8.405548,8.136393929
0.481927711,7.0611415,7.288781,7.6536584,8.025305,8.286852,7.758754574
0.481927711,6.8773108,7.0611415,7.288781,7.6536584,8.025305,8.673668267
0.397590361,6.761849,6.8773108,7.0611415,7.288781,7.6536584,9.103577548
0.289156627,6.707562,6.761849,6.8773108,7.0611415,7.288781,9.391674692
0.192771084,6.6926103,6.707562,6.761849,6.8773108,7.0611415,9.564415615
0.168674699,6.690529,6.6926103,6.707562,6.761849,6.8773108,9.511932836
0.144578313,6.67009,6.690529,6.6926103,6.707562,6.761849,8.794676506
0.144578313,6.560985,6.67009,6.690529,6.6926103,6.707562,8.278443191
0.192771084,6.3883686,6.560985,6.67009,6.690529,6.6926103,9.501952913
0.228915663,6.362605,6.3883686,6.560985,6.67009,6.690529,10.58079805
0.228915663,6.5059457,6.362605,6.3883686,6.560985,6.67009,10.73982855
0.253012048,6.7143207,6.5059457,6.362605,6.3883686,6.560985,10.7614697
0.277108434,6.9328523,6.7143207,6.5059457,6.362605,6.3883686,10.66936101
0.253012048,7.1226816,6.9328523,6.7143207,6.5059457,6.362605,10.39606099
0.277108434,7.240504,7.1226816,6.9328523,6.7143207,6.5059457,10.45940561
0.253012048,7.2988596,7.240504,7.1226816,6.9328523,6.7143207,10.07312138
0.277108434,7.2439528,7.2988596,7.240504,7.1226816,6.9328523,10.0456799
0.253012048,7.090876,7.2439528,7.2988596,7.240504,7.1226816,10.00396832
0.253012048,6.9060583,7.090876,7.2439528,7.2988596,7.240504,9.853975896
0.253012048,6.738641,6.9060583,7.090876,7.2439528,7.2988596,9.807238509
0.265060241,6.59259,6.738641,6.9060583,7.090876,7.2439528,9.718913389
0.361445783,6.4716234,6.59259,6.738641,6.9060583,7.090876,9.566372396
0.397590361,6.381282,6.4716234,6.59259,6.738641,6.9060583,9.590417769
0.43373494,6.3360844,6.381282,6.4716234,6.59259,6.738641,8.003449171
0.493975904,6.1846557,6.3360844,6.381282,6.4716234,6.59259,7.859406906
0.530120482,6.0670705,6.1846557,6.3360844,6.381282,6.4716234,8.50169107
0.457831325,6.0433154,6.0670705,6.1846557,6.3360844,6.381282,8.381090582
0.397590361,6.0859675,6.0433154,6.0670705,6.1846557,6.3360844,7.89045821
0.325301205,6.1541104,6.0859675,6.0433154,6.0670705,6.1846557,7.354481194
0.301204819,6.2356277,6.1541104,6.0859675,6.0433154,6.0670705,7.034860534
0.301204819,6.34596,6.2356277,6.1541104,6.0859675,6.0433154,6.887692155
0.325301205,6.506767,6.34596,6.2356277,6.1541104,6.0859675,6.828368165
0.385542169,6.673917,6.506767,6.34596,6.2356277,6.1541104,6.874052896
0.409638554,6.7838893,6.673917,6.506767,6.34596,6.2356277,6.662345261
0.43373494,6.8697042,6.7838893,6.673917,6.506767,6.34596,6.314158184
0.469879518,6.9587164,6.8697042,6.7838893,6.673917,6.506767,6.100543025
0.506024096,7.064657,6.9587164,6.8697042,6.7838893,6.673917,6.157134581
0.518072289,7.201796,7.064657,6.9587164,6.8697042,6.7838893,6.618592643
0.530120482,7.377685,7.201796,7.064657,6.9587164,6.8697042,7.554718218
0.506024096,7.6109734,7.377685,7.201796,7.064657,6.9587164,9.005560698
0.506024096,7.87667,7.6109734,7.377685,7.201796,7.064657,9.91258176
0.506024096,8.152247,7.87667,7.6109734,7.377685,7.201796,9.905152181
0.481927711,8.367226,8.152247,7.87667,7.6109734,7.377685,9.728169209
0.481927711,8.466357,8.367226,8.152247,7.87667,7.6109734,9.671456883
0.493975904,8.425569,8.466357,8.367226,8.152247,7.87667,9.616746847
0.578313253,8.255454,8.425569,8.466357,8.367226,8.152247,9.559156828
0.614457831,8.000147,8.255454,8.425569,8.466357,8.367226,9.418752697
0.674698795,7.683868,8.000147,8.255454,8.425569,8.466357,7.961921511
0.698795181,7.3551664,7.683868,8.000147,8.255454,8.425569,7.493449243
0.746987952,6.946912,7.3551664,7.683868,8.000147,8.255454,7.571734476
0.662650602,6.5043597,6.946912,7.3551664,7.683868,8.000147,7.623498774
0.590361446,6.1495676,6.5043597,6.946912,7.3551664,7.683868,7.571077298
0.493975904,5.912036,6.1495676,6.5043597,6.946912,7.3551664,7.322277247
0.457831325,5.7739916,5.912036,6.1495676,6.5043597,6.946912,7.053224709
0.481927711,5.7256184,5.7739916,5.912036,6.1495676,6.5043597,6.647731538
0.506024096,5.760458,5.7256184,5.7739916,5.912036,6.1495676,6.275237211
0.602409639,5.889147,5.760458,5.7256184,5.7739916,5.912036,5.859747833
0.662650602,6.1118255,5.889147,5.760458,5.7256184,5.7739916,5.670794779
0.722891566,6.438684,6.1118255,5.889147,5.760458,5.7256184,5.57054073
0.746987952,6.8374915,6.438684,6.1118255,5.889147,5.760458,5.668932818
0.78313253,7.2309003,6.8374915,6.438684,6.1118255,5.889147,6.131756141
0.78313253,7.5318356,7.2309003,6.8374915,6.438684,6.1118255,6.697448932
0.795180723,7.7052116,7.5318356,7.2309003,6.8374915,6.438684,7.26389934
0.771084337,7.8255057,7.7052116,7.5318356,7.2309003,6.8374915,8.630238716
0.759036145,8.035772,7.8255057,7.7052116,7.5318356,7.2309003,10.32725906
0.78313253,8.311274,8.035772,7.8255057,7.7052116,7.5318356,10.45961195
0.807228916,8.5014925,8.311274,8.035772,7.8255057,7.7052116,10.1343262
0.795180723,8.548581,8.5014925,8.311274,8.035772,7.8255057,10.043026
0.843373494,8.451925,8.548581,8.5014925,8.311274,8.035772,10.06039932
0.879518072,8.253013,8.451925,8.548581,8.5014925,8.311274,10.09454562
0.927710843,8.013892,8.253013,8.451925,8.548581,8.5014925,10.02906437
0.951807229,7.783125,8.013892,8.253013,8.451925,8.548581,8.734992154
0.987951807,7.516323,7.783125,8.013892,8.253013,8.451925,7.688810328
1,7.0982203,7.516323,7.783125,8.013892,8.253013,8.192492
0.951807229,6.693905,7.0982203,7.516323,7.783125,8.013892,8.598741764
0.86746988,6.374806,6.693905,7.0982203,7.516323,7.783125,8.99264814
0.734939759,6.171147,6.374806,6.693905,7.0982203,7.516323,8.979861873
0.710843373,6.0410385,6.171147,6.374806,6.693905,7.0982203,8.920213585
0.710843373,5.961865,6.0410385,6.171147,6.374806,6.693905,8.336449713
0.722891566,5.880525,5.961865,6.0410385,6.171147,6.374806,8.090331463
0.759036145,5.837975,5.880525,5.961865,6.0410385,6.171147,7.889352483
0.807228916,5.870597,5.837975,5.880525,5.961865,6.0410385,7.562622959
0.831325301,5.989352,5.870597,5.837975,5.880525,5.961865,7.739124111
0.807228916,6.232897,5.989352,5.870597,5.837975,5.880525,8.50799212
0.819277108,6.602908,6.232897,5.989352,5.870597,5.837975,9.527502032
0.807228916,7.0296693,6.602908,6.232897,5.989352,5.870597,10.37670086
0.807228916,7.443189,7.0296693,6.602908,6.232897,5.989352,10.81403825
0.771084337,7.8142767,7.443189,7.0296693,6.602908,6.232897,10.92371491
0.710843373,8.114784,7.8142767,7.443189,7.0296693,6.602908,10.88222926
0.686746988,8.296428,8.114784,7.8142767,7.443189,7.0296693,10.65247582
0.638554217,8.343763,8.296428,8.114784,7.8142767,7.443189,10.67685688
0.638554217,8.282473,8.343763,8.296428,8.114784,7.8142767,10.34526518
0.626506024,8.078684,8.282473,8.343763,8.296428,8.114784,10.08085223
0.674698795,7.7581663,8.078684,8.282473,8.343763,8.296428,10.02904115
0.722891566,7.3999414,7.7581663,8.078684,8.282473,8.343763,10.0464443
0.795180723,7.076747,7.3999414,7.7581663,8.078684,8.282473,8.714383916
0.843373494,6.7046514,7.076747,7.3999414,7.7581663,8.078684,6.962685412
0.843373494,6.1845007,6.7046514,7.076747,7.3999414,7.7581663,6.226388506
0.78313253,5.619786,6.1845007,6.7046514,7.076747,7.3999414,5.602074028
0.674698795,5.155271,5.619786,6.1845007,6.7046514,7.076747,4.388140182
0.56626506,4.8425975,5.155271,5.619786,6.1845007,6.7046514,2.770460116
0.493975904,4.743291,4.8425975,5.155271,5.619786,6.1845007,1.993479801
0.469879518,4.9349113,4.743291,4.8425975,5.155271,5.619786,2.144689499
0.445783133,5.376795,4.9349113,4.743291,4.8425975,5.155271,2.294940942
0.469879518,5.7972584,5.376795,4.9349113,4.743291,4.8425975,2.258383243
0.506024096,5.97624,5.7972584,5.376795,4.9349113,4.743291,2.230586016
0.554216867,5.8745236,5.97624,5.7972584,5.376795,4.9349113,2.129748831
0.578313253,5.591666,5.8745236,5.97624,5.7972584,5.376795,2.061533656
